participant,branch,application,gender,age,rp,tp,fn,pp,fp,desired_tpr,tpr,desired_ppv,ppv,acceptable,useful,would_use,acceptable_b,useful_b,would_use_b
p3,Application,electricity,Male,34,10,5,5,5,0,0.5,0.5,1,1,Extremely unlikely,Extremely unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p3,Application,electricity,Male,34,10,5,5,6,1,0.5,0.5,0.833333333,0.833333333,Extremely unlikely,Extremely unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p3,Application,electricity,Male,34,10,5,5,8,3,0.5,0.5,0.666666667,0.625,Extremely unlikely,Extremely unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p3,Application,electricity,Male,34,10,5,5,10,5,0.5,0.5,0.5,0.5,Extremely unlikely,Extremely unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p3,Application,electricity,Male,34,10,7,3,7,0,0.666666667,0.7,1,1,Quite unlikely,Quite unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p3,Application,electricity,Male,34,10,7,3,8,1,0.666666667,0.7,0.833333333,0.875,Extremely unlikely,Extremely unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p3,Application,electricity,Male,34,10,7,3,11,4,0.666666667,0.7,0.666666667,0.636363636,Extremely unlikely,Extremely unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p3,Application,electricity,Male,34,10,7,3,14,7,0.666666667,0.7,0.5,0.5,Extremely unlikely,Extremely unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p3,Application,electricity,Male,34,10,8,2,8,0,0.833333333,0.8,1,1,Quite unlikely,Quite unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p3,Application,electricity,Male,34,10,8,2,10,2,0.833333333,0.8,0.833333333,0.8,Quite unlikely,Quite unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p3,Application,electricity,Male,34,10,8,2,12,4,0.833333333,0.8,0.666666667,0.666666667,Quite unlikely,Quite unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p3,Application,electricity,Male,34,10,8,2,16,8,0.833333333,0.8,0.5,0.5,Extremely unlikely,Extremely unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p3,Application,electricity,Male,34,10,10,0,10,0,1,1,1,1,Extremely likely,Quite unlikely,Extremely unlikely,TRUE,FALSE,FALSE
p3,Application,electricity,Male,34,10,10,0,12,2,1,1,0.833333333,0.833333333,Quite likely,Extremely unlikely,Extremely unlikely,TRUE,FALSE,FALSE
p3,Application,electricity,Male,34,10,10,0,15,5,1,1,0.666666667,0.666666667,Quite unlikely,Extremely unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p3,Application,electricity,Male,34,10,10,0,20,10,1,1,0.5,0.5,Extremely unlikely,Extremely unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p3,Application,location,Male,34,10,5,5,5,0,0.5,0.5,1,1,Extremely unlikely,Extremely unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p3,Application,location,Male,34,10,5,5,6,1,0.5,0.5,0.833333333,0.833333333,Extremely unlikely,Extremely unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p3,Application,location,Male,34,10,5,5,8,3,0.5,0.5,0.666666667,0.625,Extremely unlikely,Extremely unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p3,Application,location,Male,34,10,5,5,10,5,0.5,0.5,0.5,0.5,Extremely unlikely,Extremely unlikely,Extremely unlikely,FALSE,FALSE,FALSE
